"model","organization","humaneval","lcb_v6","release_month","training_cutoff","report_source_ref","report_source_title","report_source_url","provenance_note"
"GPT OSS 120B High","OpenAI","90.5","81.89999999999999","2025-04","2024-06","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Seed 2.0 Lite","ByteDance","90.0","81.69999999999999","2026-02","2023-12","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"K-EXAONE-236B-A23B","LG AI Research","90.0","80.7","2025-09","2025-06","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"MiMo-V2-Flash","Xiaomi","90.0","80.60000000000001","2025-12","2025-12","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Qwen3.6-35B-A3B","Alibaba","91.0","80.4","2026-04","2025-06","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Gemma 4 31B","Google","92.0","80.0","2026-04","2025-01","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Mistral 3.2 24B","Mistral AI","92.9","26.0","2026-03","","sarvam2026","Open-Sourcing Sarvam 30B and 105B","https://www.sarvam.ai/blogs/sarvam-30b-105b","Comparison row in official Sarvam benchmark table."
"OLMo 3.1 32B Think","AI2","95.1","73.0","2026-03","","sarvam2026","Open-Sourcing Sarvam 30B and 105B","https://www.sarvam.ai/blogs/sarvam-30b-105b","Comparison row in official Sarvam benchmark table."
"Nemotron-3-Nano-30B-A3B","NVIDIA","97.6","68.3","2026-03","","sarvam2026","Open-Sourcing Sarvam 30B and 105B","https://www.sarvam.ai/blogs/sarvam-30b-105b","Comparison row in official Sarvam benchmark table."
"Qwen3-30B-Thinking-2507","Alibaba","95.7","66.0","2026-03","","sarvam2026","Open-Sourcing Sarvam 30B and 105B","https://www.sarvam.ai/blogs/sarvam-30b-105b","Comparison row in official Sarvam benchmark table."
"GPT-OSS-20B","OpenAI","95.7","61.0","2026-03","","sarvam2026","Open-Sourcing Sarvam 30B and 105B","https://www.sarvam.ai/blogs/sarvam-30b-105b","Comparison row in official Sarvam benchmark table."
"MiniCPM-SALA","OpenBMB","95.1","52.0","2025-12","2025-06","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Claude 3.5 Sonnet","Anthropic","93.7","36.4","2024-10","2024-04","12","HumanEval Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/humaneval","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"o3-mini (High)","OpenAI","96.3","67.4","2025-01","2023-10","13","HumanEval Benchmark - Code Generation - CodeSOTA","https://www.codesota.com/benchmark/humaneval","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"o1-mini","OpenAI","92.4","53.800000000000004","2024-09","2023-10","12","HumanEval Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/humaneval","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Sarvam-105B","Sarvam AI","90.0","71.7","2025-12","2025-06","5","LiveCodeBench v6 Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/livecodebench-v6","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"DeepSeek-V3","DeepSeek","90.2","27.200000000000003","2024-12","2024-12","13","HumanEval Benchmark - Code Generation - CodeSOTA","https://www.codesota.com/benchmark/humaneval","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Mistral Large 2","Mistral AI","92.0","27.6","2024-07","2024-07","12","HumanEval Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/humaneval","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
"Qwen2.5-Coder 32B","Alibaba","92.7","31.4","2024-09","2024-09","12","HumanEval Leaderboard - LLM Stats","https://llm-stats.com/benchmarks/humaneval","Extracted from Gemini report table; citation maps to report source, not guaranteed per-metric provenance."
