analysis_pair,pair_label,removed_model,removed_org,full_rho,leave_one_out_rho,delta_rho_minus_full,abs_delta_rho,removed_source_score,removed_transfer_score,is_estimated
code,HumanEval -> LiveCodeBench,o3 (High),OpenAI,-0.74371922210914,-0.7570245941941613,-0.01330537208502136,0.01330537208502136,95.0,75.8,True
knowledge,MMLU -> GPQA Diamond,Claude Sonnet 4.6,Anthropic,0.7345847437289974,0.7216726039161147,-0.01291213981288275,0.01291213981288275,89.3,74.1,False
math_math500,GSM8K -> MATH-500,Kimi K2-Instruct,Moonshot AI,0.14939024390243902,0.13865546218487398,-0.010734781717565034,0.010734781717565034,97.3,97.4,False
math_math500,GSM8K -> MATH-500,Gemma 3 27B,Google,0.14939024390243902,0.13865546218487398,-0.010734781717565034,0.010734781717565034,95.9,70.0,True
code,HumanEval -> LiveCodeBench,Claude Opus 4 (Thinking),Anthropic,-0.74371922210914,-0.7344734612531337,0.009245760856006258,0.009245760856006258,97.0,56.6,True
code,HumanEval -> LiveCodeBench,Gemini 3.1 Pro,Google,-0.74371922210914,-0.7344734612531337,0.009245760856006258,0.009245760856006258,97.0,71.0,False
knowledge,MMLU -> GPQA Diamond,Qwen 3 72B,Alibaba,0.7345847437289974,0.7436748174501425,0.00909007372114512,0.00909007372114512,88.7,60.0,True
code,HumanEval -> LiveCodeBench,GPT-5.4,OpenAI,-0.74371922210914,-0.7503351279715327,-0.00661590586239269,0.00661590586239269,95.0,84.0,True
knowledge,MMLU -> GPQA Diamond,o1,OpenAI,0.7345847437289974,0.7304734893297258,-0.004111254399271624,0.004111254399271624,91.8,80.0,True
code,HumanEval -> LiveCodeBench,Claude Opus 4.6,Anthropic,-0.74371922210914,-0.7478073213666551,-0.0040880992575150765,0.0040880992575150765,97.0,76.0,False
code,HumanEval -> LiveCodeBench,Kimi K2.5 (Reasoning),Moonshot AI,-0.74371922210914,-0.7397687086230008,0.003950513486139173,0.003950513486139173,94.5,85.0,False
math_zscore,GSM8K -> MATH-500/AIME (z),Qwen3 235B A22B,Alibaba,0.22470913212714755,0.22136563876651982,-0.003343493360627725,0.003343493360627725,96.0,0.6675655723367592,True
code,HumanEval -> LiveCodeBench,o4-mini (High),OpenAI,-0.74371922210914,-0.7461765107950765,-0.0024572886859365317,0.0024572886859365317,96.0,80.2,True
code,HumanEval -> LiveCodeBench,MiMo-V2-Flash,Xiaomi,-0.74371922210914,-0.741701689141133,0.0020175329680069964,0.0020175329680069964,92.0,80.6,True
